Administrative region;Cultivation;Yield [tFM ha^-1], M;Yield [tFM ha^-1], SD;Yield [tFM ha^-1], Min;Yield [tFM ha^-1], Max;Distribution;Source
Middle Franconia;Szarvasi;44.11;16.63;0;109.98;Normal;Perennial crops - demonstrating suitability for cultivation throughout Bavaria, Hartmann et al. (2018)
Middle Franconia;Triticale;5.71;0.63;3.16;8.37;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Winter barley;5.87;0.73;3.24;8.43;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Winter rapeseed;3.4;0.52;1.49;5.26;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Winter wheat;6.43;0.72;3.68;9.23;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Amaranth;3.5;0.35;2.1;4.77;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Amaranth whole crop silage;34.99;3.53;20.36;48.55;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Buckwheat;2.5;0.25;1.55;3.56;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Buckwheat whole crop silage;18.01;1.79;11.47;25.04;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Swabia;Cereal whole crop silage;26.38;2.76;15.85;36.84;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Durum wheat;5.77;0.44;4.12;7.42;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Fava beans;3.72;0.44;2.11;5.25;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Field grass;8.8;1.16;4.71;12.97;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Swabia;Flowering mixture, year 1;4.56;0.46;2.79;6.58;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
